trade_id,trade_date,settlement_date,counterparty,asset,trade_type,currency,expected_amounts,settled_amount,status,break_amount,abs_break_amount,risk_level,break_direction
TRD000083,2025-06-30,2025-07-02,MORGAN STANLEY,AAPL,BUY,JPY,1655159.23,2413738.44,SETTLED,-758579.21,758579.21,medium,over payment
TRD000088,2025-02-15,2025-02-18,CITI BANK,TSLA,BUY,JPY,3188149.8,4076840.96,SETTLED,-888691.1600000001,888691.1600000001,medium,over payment
TRD000090,2025-06-27,2025-06-30,MORGAN STANLEY,SENSEX,SELL,JPY,2361602.41,1747079.95,MISMATCHED,614522.4600000002,614522.4600000002,medium,underpayment
TRD000093,2025-09-07,2025-09-09,JP MORGAN,TCS,BUY,USD,3804164.46,4161862.08,SETTLED,-357697.6200000001,357697.6200000001,medium,over payment
TRD000111,2025-01-22,2025-01-24,GOLDMAN SACHS,NIFTY50,BUY,JPY,1449467.51,1878563.94,SETTLED,-429096.42999999993,429096.42999999993,medium,over payment
TRD000114,2025-01-29,2025-02-03,UBS,NIFTY50,BUY,JPY,4040793.78,3754986.87,SETTLED,285806.9099999997,285806.9099999997,medium,underpayment
TRD000116,2025-05-03,2025-05-06,CITI BANK,AMZN,SELL,USD,4357431.49,4021723.1,FAILED,335708.39000000013,335708.39000000013,medium,underpayment
TRD000122,2025-10-25,2025-10-27,GOLDMAN SACHS,INFY,BUY,GBP,4480560.41,3223444.12,SETTLED,1257116.29,1257116.29,high,underpayment
TRD000128,2025-05-15,2025-05-17,JP MORGAN,AAPL,SELL,GBP,4303792.19,3300190.57,SETTLED,1003601.6200000006,1003601.6200000006,high,underpayment
TRD000129,2025-01-06,2025-01-09,HSBC,NIFTY50,BUY,USD,35753.7,39740.3,SETTLED,-3986.600000000006,3986.600000000006,low,over payment
TRD000133,2025-12-12,2025-12-14,HSBC,TSLA,SELL,USD,600206.97,404604.79,SETTLED,195602.18,195602.18,medium,underpayment
TRD000140,2025-05-05,2025-05-06,GOLDMAN SACHS,NIFTY50,SELL,JPY,4858938.63,7141562.53,SETTLED,-2282623.9000000004,2282623.9000000004,high,over payment
TRD000165,2025-08-30,2025-08-31,MORGAN STANLEY,TCS,SELL,JPY,452358.56,269992.62,PENDING,182365.94,182365.94,medium,underpayment
TRD000168,2025-03-04,2025-03-08,GOLDMAN SACHS,TSLA,SELL,INR,933406.03,682259.62,PENDING,251146.41000000003,251146.41000000003,medium,underpayment
TRD000172,2025-09-15,2025-09-18,UBS,TSLA,SELL,USD,83922.56,92211.66,MISMATCHED,-8289.100000000006,8289.100000000006,low,over payment
TRD000182,2025-07-19,2025-07-23,MORGAN STANLEY,AAPL,BUY,EUR,568254.13,820173.95,SETTLED,-251919.81999999995,251919.81999999995,medium,over payment
TRD000187,2025-11-22,2025-11-25,CITI BANK,RELIANCE,BUY,INR,4086293.78,3802849.01,SETTLED,283444.77,283444.77,medium,underpayment
TRD000189,2025-06-07,2025-06-12,CITI BANK,AMZN,BUY,EUR,2648723.24,2064275.5,SETTLED,584447.7400000002,584447.7400000002,medium,underpayment
TRD000191,2025-06-10,2025-06-13,UBS,RELIANCE,SELL,INR,466420.74,411077.1,SETTLED,55343.640000000014,55343.640000000014,low,underpayment
TRD000202,2025-08-30,2025-09-03,DEUTSCHE BANK,TSLA,BUY,USD,421615.69,426486.34,SETTLED,-4870.650000000023,4870.650000000023,low,over payment
TRD000205,2025-05-21,2025-05-26,GOLDMAN SACHS,TSLA,SELL,EUR,3032538.87,2120041.27,SETTLED,912497.6000000001,912497.6000000001,medium,underpayment
TRD000219,2025-07-02,2025-07-04,BARCLAYS,AAPL,BUY,JPY,3248514.86,3858926.28,FAILED,-610411.4199999999,610411.4199999999,medium,over payment
TRD000221,2025-08-21,2025-08-23,HSBC,AAPL,SELL,INR,3288406.85,2840646.34,SETTLED,447760.51000000024,447760.51000000024,medium,underpayment
TRD000241,2025-11-24,2025-11-29,CITI BANK,AMZN,BUY,GBP,4702352.46,2355300.12,SETTLED,2347052.34,2347052.34,high,underpayment
TRD000252,2025-01-23,2025-01-25,MORGAN STANLEY,AAPL,BUY,USD,1926103.55,1467105.55,SETTLED,458998.0,458998.0,medium,underpayment
TRD000257,2025-02-12,2025-02-14,CITI BANK,GOOGL,SELL,GBP,4680837.72,6117904.88,SETTLED,-1437067.1600000001,1437067.1600000001,high,over payment
TRD000271,2025-07-01,2025-07-04,HSBC,AMZN,BUY,USD,4046996.42,5513180.21,SETTLED,-1466183.79,1466183.79,high,over payment
TRD000275,2025-01-01,2025-01-02,UBS,NIFTY50,SELL,INR,2557200.65,2309605.75,PENDING,247594.8999999999,247594.8999999999,medium,underpayment
TRD000291,2025-07-16,2025-07-20,JP MORGAN,RELIANCE,BUY,JPY,153470.75,140372.34,PENDING,13098.410000000003,13098.410000000003,low,underpayment
TRD000300,2025-09-12,2025-09-14,DEUTSCHE BANK,NIFTY50,BUY,USD,427651.98,401019.77,SETTLED,26632.209999999963,26632.209999999963,low,underpayment
TRD000301,2025-07-09,2025-07-11,BARCLAYS,SENSEX,BUY,JPY,259356.92,272310.18,PENDING,-12953.25999999998,12953.25999999998,low,over payment
TRD000305,2025-02-07,2025-02-12,HSBC,TSLA,BUY,INR,3630730.58,4003039.34,PENDING,-372308.7599999998,372308.7599999998,medium,over payment
TRD000308,2025-02-08,2025-02-09,JP MORGAN,TSLA,BUY,GBP,1615459.41,1193622.62,FAILED,421836.7899999998,421836.7899999998,medium,underpayment
TRD000310,2025-03-05,2025-03-10,MORGAN STANLEY,TCS,SELL,EUR,1354890.42,804668.37,SETTLED,550222.0499999999,550222.0499999999,medium,underpayment
TRD000318,2025-02-03,2025-02-07,UBS,AAPL,BUY,GBP,867298.31,706169.98,SETTLED,161128.33000000007,161128.33000000007,medium,underpayment
TRD000320,2025-11-13,2025-11-15,GOLDMAN SACHS,RELIANCE,SELL,EUR,1251964.25,1073335.85,FAILED,178628.3999999999,178628.3999999999,medium,underpayment
TRD000327,2025-10-31,2025-11-03,DEUTSCHE BANK,TSLA,SELL,GBP,2772215.91,2833178.99,SETTLED,-60963.080000000075,60963.080000000075,low,over payment
TRD000329,2025-09-16,2025-09-19,GOLDMAN SACHS,TSLA,BUY,INR,2098580.71,1658498.54,SETTLED,440082.1699999999,440082.1699999999,medium,underpayment
TRD000343,2025-02-12,2025-02-16,UBS,AAPL,SELL,USD,866836.15,1009614.87,SETTLED,-142778.71999999997,142778.71999999997,medium,over payment
TRD000349,2025-09-27,2025-09-28,JP MORGAN,SENSEX,BUY,GBP,1873688.46,1253219.89,SETTLED,620468.5700000001,620468.5700000001,medium,underpayment
TRD000363,2025-01-14,2025-01-17,MORGAN STANLEY,RELIANCE,BUY,EUR,2291806.2,1870911.75,SETTLED,420894.4500000002,420894.4500000002,medium,underpayment
TRD000365,2025-04-30,2025-05-04,CITI BANK,AAPL,BUY,GBP,4707382.58,5815711.77,SETTLED,-1108329.1899999995,1108329.1899999995,high,over payment
TRD000367,2025-06-12,2025-06-14,GOLDMAN SACHS,SENSEX,SELL,INR,4805991.63,5313151.54,SETTLED,-507159.91000000015,507159.91000000015,medium,over payment
TRD000382,2025-11-10,2025-11-12,BARCLAYS,AAPL,SELL,GBP,3483989.09,3193395.57,SETTLED,290593.52,290593.52,medium,underpayment
TRD000393,2025-10-25,2025-10-30,GOLDMAN SACHS,AMZN,SELL,EUR,1860718.41,1175845.68,SETTLED,684872.73,684872.73,medium,underpayment
TRD000398,2025-08-21,2025-08-26,UBS,INFY,SELL,INR,2145541.14,2228945.23,SETTLED,-83404.08999999985,83404.08999999985,low,over payment
TRD000400,2025-10-23,2025-10-27,UBS,TSLA,BUY,GBP,3772959.83,3765097.45,SETTLED,7862.379999999888,7862.379999999888,low,underpayment
TRD000402,2025-12-30,2026-01-03,UBS,AMZN,BUY,INR,4512861.98,2548382.49,SETTLED,1964479.4900000002,1964479.4900000002,high,underpayment
TRD000412,2025-07-02,2025-07-06,MORGAN STANLEY,TSLA,SELL,GBP,4750359.77,2534610.65,SETTLED,2215749.1199999996,2215749.1199999996,high,underpayment
TRD000414,2025-03-03,2025-03-07,CITI BANK,TSLA,SELL,INR,2867616.0,2907182.44,PENDING,-39566.439999999944,39566.439999999944,low,over payment
TRD000421,2025-10-16,2025-10-18,HSBC,AMZN,BUY,USD,3958103.64,2300940.32,MISMATCHED,1657163.3200000003,1657163.3200000003,high,underpayment
TRD000428,2025-05-09,2025-05-12,MORGAN STANLEY,TSLA,BUY,USD,4438633.21,2778236.29,SETTLED,1660396.92,1660396.92,high,underpayment
TRD000448,2025-03-31,2025-04-03,BARCLAYS,GOOGL,SELL,INR,3767137.55,4863617.47,PENDING,-1096479.92,1096479.92,high,over payment
TRD000454,2025-07-22,2025-07-26,CITI BANK,MSFT,SELL,JPY,4531865.57,3203519.38,SETTLED,1328346.1900000004,1328346.1900000004,high,underpayment
TRD000465,2025-11-04,2025-11-08,MORGAN STANLEY,SENSEX,SELL,USD,4810900.57,3393589.15,SETTLED,1417311.4200000004,1417311.4200000004,high,underpayment
TRD000471,2025-10-01,2025-10-06,DEUTSCHE BANK,TSLA,BUY,INR,61760.22,38717.04,SETTLED,23043.18,23043.18,low,underpayment
TRD000473,2025-10-16,2025-10-17,GOLDMAN SACHS,SENSEX,BUY,JPY,216756.4,115526.09,SETTLED,101230.31,101230.31,medium,underpayment
TRD000494,2025-02-26,2025-02-28,HSBC,TSLA,BUY,GBP,941417.68,1389827.93,SETTLED,-448410.2499999999,448410.2499999999,medium,over payment
TRD000501,2025-09-13,2025-09-17,CITI BANK,INFY,BUY,GBP,3491110.41,2807781.21,SETTLED,683329.2000000002,683329.2000000002,medium,underpayment
TRD000506,2025-12-19,2025-12-20,HSBC,TSLA,SELL,JPY,813922.08,797215.28,SETTLED,16706.79999999993,16706.79999999993,low,underpayment
TRD000509,2025-04-22,2025-04-23,BARCLAYS,TSLA,SELL,INR,4749049.77,5653136.38,SETTLED,-904086.6100000003,904086.6100000003,medium,over payment
TRD000520,2025-05-10,2025-05-12,UBS,NIFTY50,BUY,USD,752934.04,1102297.33,PENDING,-349363.29000000004,349363.29000000004,medium,over payment
TRD000527,2025-06-22,2025-06-24,GOLDMAN SACHS,INFY,BUY,USD,2074682.69,1061258.19,FAILED,1013424.5,1013424.5,high,underpayment
TRD000531,2025-02-24,2025-02-28,CITI BANK,AAPL,SELL,GBP,4064692.14,4594460.18,SETTLED,-529768.0399999996,529768.0399999996,medium,over payment
TRD000535,2025-07-26,2025-07-29,MORGAN STANLEY,NIFTY50,SELL,INR,3845168.09,2063164.06,SETTLED,1782004.0299999998,1782004.0299999998,high,underpayment
TRD000538,2025-06-05,2025-06-07,JP MORGAN,GOOGL,BUY,GBP,1237493.16,1829653.87,SETTLED,-592160.7100000002,592160.7100000002,medium,over payment
TRD000539,2025-03-19,2025-03-20,GOLDMAN SACHS,MSFT,BUY,JPY,2253270.13,1507512.39,SETTLED,745757.74,745757.74,medium,underpayment
TRD000543,2025-03-27,2025-03-31,JP MORGAN,MSFT,SELL,INR,1143985.38,925850.31,SETTLED,218135.06999999983,218135.06999999983,medium,underpayment
TRD000544,2025-09-16,2025-09-18,BARCLAYS,NIFTY50,BUY,INR,3358831.72,4410315.21,SETTLED,-1051483.4899999998,1051483.4899999998,high,over payment
TRD000548,2025-11-18,2025-11-19,MORGAN STANLEY,RELIANCE,SELL,EUR,3358194.4,3056319.59,SETTLED,301874.81000000006,301874.81000000006,medium,underpayment
TRD000550,2025-11-15,2025-11-18,CITI BANK,TSLA,BUY,EUR,3861819.64,3290440.1,SETTLED,571379.54,571379.54,medium,underpayment
TRD000551,2025-05-30,2025-06-04,GOLDMAN SACHS,RELIANCE,SELL,INR,2601297.34,2851274.38,FAILED,-249977.04000000004,249977.04000000004,medium,over payment
TRD000568,2025-01-01,2025-01-06,DEUTSCHE BANK,TSLA,SELL,USD,2187937.14,2491386.07,SETTLED,-303448.9299999997,303448.9299999997,medium,over payment
TRD000573,2025-06-10,2025-06-12,CITI BANK,INFY,BUY,INR,1983317.37,2347398.13,SETTLED,-364080.7599999998,364080.7599999998,medium,over payment
TRD000585,2025-11-01,2025-11-02,CITI BANK,TCS,BUY,USD,3167370.87,1817793.74,SETTLED,1349577.1300000001,1349577.1300000001,high,underpayment
TRD000594,2025-07-18,2025-07-23,MORGAN STANLEY,RELIANCE,SELL,USD,1728990.75,2110579.86,SETTLED,-381589.10999999987,381589.10999999987,medium,over payment
TRD000617,2025-07-18,2025-07-22,BARCLAYS,TSLA,BUY,EUR,306328.72,380694.89,SETTLED,-74366.17000000004,74366.17000000004,low,over payment
TRD000633,2025-02-11,2025-02-13,JP MORGAN,SENSEX,BUY,JPY,2558875.53,1328534.0,SETTLED,1230341.5299999998,1230341.5299999998,high,underpayment
TRD000638,2025-12-16,2025-12-20,GOLDMAN SACHS,RELIANCE,BUY,INR,1213110.05,1248852.99,MISMATCHED,-35742.939999999944,35742.939999999944,low,over payment
TRD000647,2025-10-07,2025-10-12,BARCLAYS,MSFT,SELL,EUR,2968368.68,2915104.12,SETTLED,53264.560000000056,53264.560000000056,low,underpayment
TRD000648,2025-10-16,2025-10-21,UBS,MSFT,SELL,GBP,3395832.49,1926260.57,SETTLED,1469571.9200000002,1469571.9200000002,high,underpayment
TRD000650,2025-03-15,2025-03-16,JP MORGAN,AMZN,BUY,INR,2492712.55,2083508.27,PENDING,409204.2799999998,409204.2799999998,medium,underpayment
TRD000652,2025-08-13,2025-08-14,MORGAN STANLEY,TCS,BUY,GBP,2685995.6,3561324.87,SETTLED,-875329.27,875329.27,medium,over payment
TRD000656,2025-06-20,2025-06-22,MORGAN STANLEY,AMZN,BUY,USD,638773.93,376804.56,SETTLED,261969.37000000005,261969.37000000005,medium,underpayment
TRD000657,2025-09-09,2025-09-12,JP MORGAN,TCS,BUY,INR,1419595.75,945099.04,SETTLED,474496.70999999996,474496.70999999996,medium,underpayment
TRD000660,2025-04-10,2025-04-14,GOLDMAN SACHS,INFY,BUY,JPY,2854320.75,3791692.4,SETTLED,-937371.6499999999,937371.6499999999,medium,over payment
TRD000663,2025-05-27,2025-05-28,HSBC,SENSEX,SELL,GBP,3029268.32,1550312.32,SETTLED,1478955.9999999998,1478955.9999999998,high,underpayment
TRD000675,2025-06-01,2025-06-04,HSBC,MSFT,BUY,EUR,2052573.74,1881264.89,MISMATCHED,171308.8500000001,171308.8500000001,medium,underpayment
TRD000682,2025-09-01,2025-09-05,DEUTSCHE BANK,SENSEX,SELL,JPY,1290256.23,1917960.13,SETTLED,-627703.8999999999,627703.8999999999,medium,over payment
TRD000685,2025-11-01,2025-11-05,HSBC,INFY,BUY,EUR,4646950.57,5772641.2,PENDING,-1125690.63,1125690.63,high,over payment
TRD000695,2025-01-18,2025-01-21,GOLDMAN SACHS,AAPL,BUY,JPY,575069.29,479505.43,SETTLED,95563.86000000004,95563.86000000004,low,underpayment
TRD000706,2025-01-18,2025-01-19,UBS,RELIANCE,SELL,EUR,4949811.2,7311030.78,SETTLED,-2361219.58,2361219.58,high,over payment
TRD000707,2025-03-25,2025-03-29,GOLDMAN SACHS,MSFT,BUY,EUR,1612446.87,870561.15,SETTLED,741885.7200000001,741885.7200000001,medium,underpayment
TRD000711,2025-05-27,2025-06-01,MORGAN STANLEY,AAPL,SELL,GBP,3801379.07,4767511.5,SETTLED,-966132.4300000002,966132.4300000002,medium,over payment
TRD000714,2025-03-01,2025-03-06,DEUTSCHE BANK,INFY,SELL,GBP,2059792.73,1768226.54,SETTLED,291566.18999999994,291566.18999999994,medium,underpayment
TRD000725,2025-11-05,2025-11-06,DEUTSCHE BANK,RELIANCE,BUY,INR,2872791.09,2136825.36,SETTLED,735965.73,735965.73,medium,underpayment
TRD000727,2025-01-26,2025-01-27,JP MORGAN,TSLA,BUY,INR,699722.11,951985.03,PENDING,-252262.92000000004,252262.92000000004,medium,over payment
TRD000751,2025-12-27,2026-01-01,HSBC,SENSEX,SELL,USD,585373.31,838662.04,SETTLED,-253288.72999999998,253288.72999999998,medium,over payment
TRD000777,2025-10-14,2025-10-18,MORGAN STANLEY,GOOGL,SELL,USD,1147027.72,1066587.4,SETTLED,80440.32000000007,80440.32000000007,low,underpayment
TRD000781,2025-12-27,2025-12-29,CITI BANK,TSLA,BUY,EUR,3470048.27,3511134.1,SETTLED,-41085.830000000075,41085.830000000075,low,over payment
TRD000788,2025-08-25,2025-08-26,HSBC,TSLA,BUY,INR,2004856.23,2868476.79,SETTLED,-863620.56,863620.56,medium,over payment
TRD000790,2025-07-04,2025-07-05,BARCLAYS,MSFT,BUY,INR,4736469.41,3596349.92,SETTLED,1140119.4900000002,1140119.4900000002,high,underpayment
TRD000798,2025-03-21,2025-03-23,GOLDMAN SACHS,AMZN,SELL,INR,2826100.78,3721430.66,SETTLED,-895329.8800000004,895329.8800000004,medium,over payment
TRD000799,2025-11-19,2025-11-23,BARCLAYS,RELIANCE,SELL,JPY,3483557.47,2809904.04,MISMATCHED,673653.4300000002,673653.4300000002,medium,underpayment
TRD000805,2025-03-15,2025-03-17,GOLDMAN SACHS,MSFT,BUY,EUR,2121229.23,1552407.59,SETTLED,568821.6399999999,568821.6399999999,medium,underpayment
TRD000815,2025-04-02,2025-04-05,JP MORGAN,MSFT,BUY,INR,4349611.91,3464475.53,SETTLED,885136.3800000004,885136.3800000004,medium,underpayment
TRD000818,2025-10-09,2025-10-13,UBS,AAPL,SELL,EUR,1995614.52,2671408.09,PENDING,-675793.5699999998,675793.5699999998,medium,over payment
TRD000819,2025-06-23,2025-06-26,MORGAN STANLEY,INFY,BUY,JPY,274753.43,159055.63,SETTLED,115697.79999999999,115697.79999999999,medium,underpayment
TRD000831,2025-02-21,2025-02-23,MORGAN STANLEY,AAPL,BUY,INR,1123799.51,1479590.47,FAILED,-355790.95999999996,355790.95999999996,medium,over payment
TRD000835,2025-08-18,2025-08-20,CITI BANK,AAPL,SELL,JPY,2492340.5,3464277.49,SETTLED,-971936.9900000002,971936.9900000002,medium,over payment
TRD000841,2025-06-19,2025-06-24,MORGAN STANLEY,INFY,BUY,INR,66459.19,87371.11,PENDING,-20911.92,20911.92,low,over payment
TRD000842,2025-04-07,2025-04-10,CITI BANK,INFY,SELL,USD,3318023.32,3463606.68,SETTLED,-145583.36000000034,145583.36000000034,medium,over payment
TRD000845,2025-11-07,2025-11-11,MORGAN STANLEY,MSFT,BUY,JPY,744164.98,1115912.56,FAILED,-371747.5800000001,371747.5800000001,medium,over payment
TRD000847,2025-01-02,2025-01-04,BARCLAYS,AMZN,SELL,EUR,427662.99,386304.19,SETTLED,41358.79999999999,41358.79999999999,low,underpayment
TRD000850,2025-02-17,2025-02-18,DEUTSCHE BANK,NIFTY50,BUY,EUR,2977329.7,1580699.14,SETTLED,1396630.5600000003,1396630.5600000003,high,underpayment
TRD000851,2025-05-14,2025-05-19,JP MORGAN,RELIANCE,BUY,GBP,336315.31,283751.8,SETTLED,52563.51000000001,52563.51000000001,low,underpayment
TRD000855,2025-07-31,2025-08-05,MORGAN STANLEY,MSFT,BUY,GBP,1026493.06,996515.28,SETTLED,29977.780000000028,29977.780000000028,low,underpayment
TRD000857,2025-10-11,2025-10-15,UBS,MSFT,BUY,EUR,183711.79,162776.96,SETTLED,20934.830000000016,20934.830000000016,low,underpayment
TRD000867,2025-06-06,2025-06-10,JP MORGAN,TSLA,BUY,GBP,777045.99,559078.65,PENDING,217967.33999999997,217967.33999999997,medium,underpayment
TRD000869,2025-08-17,2025-08-19,GOLDMAN SACHS,AAPL,SELL,JPY,4309066.32,6300792.29,SETTLED,-1991725.9699999997,1991725.9699999997,high,over payment
TRD000876,2025-06-15,2025-06-16,MORGAN STANLEY,AAPL,BUY,EUR,781606.83,417181.21,SETTLED,364425.61999999994,364425.61999999994,medium,underpayment
TRD000877,2025-01-25,2025-01-26,DEUTSCHE BANK,NIFTY50,SELL,EUR,3580145.17,5197414.85,SETTLED,-1617269.6799999997,1617269.6799999997,high,over payment
TRD000884,2025-12-05,2025-12-07,JP MORGAN,SENSEX,BUY,EUR,521438.8,601230.88,SETTLED,-79792.08000000002,79792.08000000002,low,over payment
TRD000887,2025-11-29,2025-12-01,GOLDMAN SACHS,AMZN,SELL,INR,3264077.79,2219357.42,FAILED,1044720.3700000001,1044720.3700000001,high,underpayment
TRD000891,2025-05-14,2025-05-17,GOLDMAN SACHS,AMZN,SELL,INR,3611612.39,1936527.98,PENDING,1675084.4100000001,1675084.4100000001,high,underpayment
TRD000892,2025-08-15,2025-08-17,HSBC,INFY,BUY,INR,4278626.64,5660564.76,MISMATCHED,-1381938.12,1381938.12,high,over payment
TRD000897,2025-05-14,2025-05-17,HSBC,SENSEX,BUY,USD,1466445.5,1144936.78,SETTLED,321508.72,321508.72,medium,underpayment
TRD000909,2025-02-13,2025-02-14,UBS,INFY,SELL,EUR,1297857.74,1262530.11,SETTLED,35327.62999999989,35327.62999999989,low,underpayment
TRD000940,2025-09-21,2025-09-23,HSBC,SENSEX,SELL,JPY,2883005.86,2100772.2,SETTLED,782233.6599999997,782233.6599999997,medium,underpayment
TRD000950,2025-02-15,2025-02-20,CITI BANK,SENSEX,SELL,GBP,2987468.1,1516352.61,SETTLED,1471115.49,1471115.49,high,underpayment
TRD000955,2025-01-18,2025-01-19,UBS,AAPL,BUY,EUR,2094433.85,1761727.8,SETTLED,332706.05000000005,332706.05000000005,medium,underpayment
TRD000960,2025-10-18,2025-10-20,HSBC,RELIANCE,BUY,USD,3690430.05,4437198.16,SETTLED,-746768.1100000003,746768.1100000003,medium,over payment
TRD000964,2025-02-11,2025-02-14,CITI BANK,INFY,SELL,INR,1947088.77,2218190.27,SETTLED,-271101.5,271101.5,medium,over payment
TRD000981,2025-07-19,2025-07-23,MORGAN STANLEY,AAPL,SELL,EUR,1671885.21,1843426.81,FAILED,-171541.6000000001,171541.6000000001,medium,over payment
TRD000987,2025-08-17,2025-08-19,GOLDMAN SACHS,INFY,SELL,JPY,3442323.58,4255780.95,PENDING,-813457.3700000001,813457.3700000001,medium,over payment
TRD000990,2025-09-27,2025-10-02,HSBC,AAPL,BUY,USD,4095692.49,5781777.84,SETTLED,-1686085.3499999996,1686085.3499999996,high,over payment
TRD001002,2025-07-14,2025-07-18,DEUTSCHE BANK,INFY,BUY,INR,2709962.84,1925488.6,SETTLED,784474.2399999998,784474.2399999998,medium,underpayment
TRD001003,2025-01-17,2025-01-18,JP MORGAN,NIFTY50,SELL,GBP,4364856.23,2437880.22,SETTLED,1926976.0100000002,1926976.0100000002,high,underpayment
TRD001007,2025-12-24,2025-12-27,DEUTSCHE BANK,TSLA,SELL,EUR,3461690.55,4192738.65,SETTLED,-731048.1000000001,731048.1000000001,medium,over payment
TRD001012,2025-05-29,2025-06-01,HSBC,INFY,SELL,INR,4938352.37,3587675.67,SETTLED,1350676.7000000002,1350676.7000000002,high,underpayment
TRD001020,2025-02-25,2025-02-26,BARCLAYS,RELIANCE,BUY,JPY,170695.95,195007.16,SETTLED,-24311.209999999992,24311.209999999992,low,over payment
TRD001026,2025-10-31,2025-11-02,MORGAN STANLEY,AAPL,BUY,GBP,2371596.87,2144489.38,SETTLED,227107.49000000022,227107.49000000022,medium,underpayment
TRD001044,2025-06-08,2025-06-11,MORGAN STANLEY,INFY,SELL,USD,3129830.99,3297505.92,SETTLED,-167674.9299999997,167674.9299999997,medium,over payment
TRD001053,2025-02-01,2025-02-03,MORGAN STANLEY,MSFT,BUY,EUR,4695399.42,6413334.37,SETTLED,-1717934.9500000002,1717934.9500000002,high,over payment
TRD001064,2025-08-13,2025-08-16,CITI BANK,GOOGL,SELL,EUR,2089416.14,2959783.41,SETTLED,-870367.2700000003,870367.2700000003,medium,over payment
TRD001079,2025-06-27,2025-07-01,BARCLAYS,TCS,BUY,USD,1092051.19,1369591.42,SETTLED,-277540.23,277540.23,medium,over payment
TRD001083,2025-06-30,2025-07-03,HSBC,RELIANCE,BUY,EUR,2088486.3,2563574.72,SETTLED,-475088.42000000016,475088.42000000016,medium,over payment
TRD001085,2025-03-19,2025-03-24,MORGAN STANLEY,AMZN,BUY,GBP,4723715.38,4727854.75,SETTLED,-4139.370000000112,4139.370000000112,low,over payment
TRD001094,2025-01-14,2025-01-16,BARCLAYS,RELIANCE,SELL,INR,2563929.87,3191606.31,SETTLED,-627676.44,627676.44,medium,over payment
TRD001096,2025-10-29,2025-11-01,GOLDMAN SACHS,TSLA,BUY,JPY,883463.63,662677.37,SETTLED,220786.26,220786.26,medium,underpayment
TRD001106,2025-02-22,2025-02-26,UBS,INFY,SELL,EUR,870302.35,1004532.33,SETTLED,-134229.97999999998,134229.97999999998,medium,over payment
TRD001108,2025-04-26,2025-04-27,CITI BANK,RELIANCE,SELL,INR,3791434.14,3797192.42,SETTLED,-5758.279999999795,5758.279999999795,low,over payment
TRD001114,2025-02-10,2025-02-13,DEUTSCHE BANK,MSFT,BUY,INR,2685335.14,3139558.42,SETTLED,-454223.2799999998,454223.2799999998,medium,over payment
TRD001117,2025-06-06,2025-06-08,GOLDMAN SACHS,AAPL,SELL,INR,458342.7,297032.97,SETTLED,161309.73000000004,161309.73000000004,medium,underpayment
TRD001126,2025-09-12,2025-09-14,JP MORGAN,TSLA,SELL,JPY,2754736.0,3262388.93,SETTLED,-507652.93000000017,507652.93000000017,medium,over payment
TRD001132,2025-08-20,2025-08-21,DEUTSCHE BANK,TCS,SELL,INR,2479882.8,3439107.87,SETTLED,-959225.0700000003,959225.0700000003,medium,over payment
TRD001135,2025-04-04,2025-04-07,MORGAN STANLEY,TCS,BUY,GBP,3416610.56,2729053.61,SETTLED,687556.9500000002,687556.9500000002,medium,underpayment
TRD001136,2025-04-01,2025-04-06,BARCLAYS,GOOGL,SELL,USD,381578.17,405845.39,SETTLED,-24267.22000000003,24267.22000000003,low,over payment
